"Standard and Poor's/Toronto Stock Exchange Composite Index, high","14,037.67","13,891.78","13,667.60","14,372.31","15,128.56","15,154.77","14,584.85","13,771.25","13,771.25","11,775.76","10,116.60","9,270.62","9,505.72","9,151.58","9,018.50","9,568.32","10,493.12","10,726.01","10,841.54","11,065.40","11,648.55","11,595.04","11,737.84","11,816.33","12,070.74","11,763.31","12,129.26","12,231.76","12,294.63","12,077.01","11,822.68","11,990.76","12,406.36","12,710.19","13,114.05","13,493.64","13,559.20","14,136.50","14,252.77","14,270.53","14,089.10","13,823.43","13,516.17","12,996.10","12,798.53","12,541.84","12,542.58","12,268.91","12,615.99","12,788.63","12,731.49","12,526.55","12,364.59","11,824.61","11,936.16","12,196.77","12,529.77","12,494.00","12,511.46","12,457.33","12,895.28","12,832.71","12,904.71","12,751.60","12,889.26","12,681.22","12,772.06","12,812.58","12,964.86","13,471.06","13,517.02","13,644.28","14,002.39","14,280.85","14,406.86","14,662.01","14,765.15","15,146.01","15,527.30","15,653.38","15,685.13","14,958.50","15,184.36","14,789.02","14,853.30","15,349.01","15,258.04","15,483.12","15,416.56","15,182.22","14,748.00","14,622.35","13,876.00","14,053.19","13,790.07","13,653.70","12,954.89","12,984.72","13,685.45","13,972.62","14,172.35","14,450.91","14,609.02","14,855.69","14,841.36","14,963.60","15,141.02","15,432.61","15,643.84","15,922.37","15,657.63","15,745.19","15,652.08","15,473.21","15,264.64","15,265.63","15,634.94","16,025.59","16,131.79","16,221.95","16,412.94","15,860.92","15,711.33","15,668.93","16,162.31","16,450.14","16,567.42","16,444.39","16,224.13","16,104.43","15,369.43","15,274.98","15,540.60","16,074.30","16,251.37","16,669.40","16,502.75","16,574.83","16,611.84","16,442.07","16,899.69","16,501.43","17,114.52","17,180.15","17,621.78","17,944.06","16,779.53","15,228.11","15,272.03","15,974.91","16,299.29","16,789.97","16,697.97","16,562.81","17,396.56","17,652.94","18,042.07","18,492.72","18,983.10","19,356.95","19,852.18","20,231.32"
"Standard and Poor's/Toronto Stock Exchange Canadian Energy Index","325.56","357.71","357.23","394.42","436.59","443.71","380.38","401.25","315.36","252.81","243.39","216.52","205.35","196.59","216.61","234.68","273.91","264.78","263.25","261.17","289.09","283.22","285.79","297.38","278.48","283.25","288.97","299.84","285.92","271.72","282.22","272.28","284.85","287.95","298.39","323.18","340.23","362.56","356.96","347.57","335.83","315.97","310.41","284.84","241.59","273.53","273.69","268.80","282.02","288.28","263.84","264.01","235.48","235.48","246.85","252.69","259.68","258.84","249.26","248.54","254.53","254.10","253.18","246.04","252.42","243.37","254.22","258.32","263.77","270.71","267.71","272.70","270.42","282.16","296.77","316.69","313.37","333.64","317.54","325.37","292.35","260.59","230.22","221.10","216.02","221.79","217.53","236.83","220.13","205.65","187.08","182.85","166.44","178.99","177.30","161.88","158.70","153.67","170.60","187.14","189.96","189.43","188.40","195.70","199.79","203.90","220.18","220.91","202.10","197.05","199.74","196.07","185.09","172.10","177.72","170.36","190.14","193.46","190.20","192.99","185.12","171.02","177.38","199.13","202.08","206.20","208.13","198.03","193.16","166.33","148.71","137.88","148.83","157.55","153.45","161.47","142.47","139.38","133.72","125.58","136.38","123.26","131.42","145.96","129.65","115.09","60.12","77.19","78.10","76.45","74.88","79.57","65.05","64.03","85.54","91.01","90.20","110.38","116.72","117.91","129.69","140.05"
"Standard and Poor's/Toronto Stock Exchange Canadian Financial Index","197.10","190.87","187.24","193.99","195.66","177.50","182.80","184.64","182.71","153.79","141.01","127.12","117.50","104.45","117.58","136.04","148.83","157.28","174.39","175.37","179.81","165.95","172.88","176.09","167.11","176.17","188.63","187.67","177.37","167.27","177.17","169.07","176.77","179.41","180.60","183.86","184.90","196.55","199.55","196.14","195.66","191.35","179.84","177.81","170.28","173.29","165.91","170.03","174.08","180.22","187.41","185.89","172.21","173.52","172.46","176.84","180.72","182.78","187.65","190.99","196.99","202.50","197.59","196.25","199.67","197.34","205.61","208.49","212.28","225.30","230.85","233.18","223.37","232.53","236.32","239.26","241.22","247.69","258.35","258.72","252.59","252.39","262.38","253.30","232.20","249.63","245.67","253.22","248.94","245.06","244.38","236.37","234.87","242.36","244.84","236.13","232.34","225.41","241.96","247.46","249.55","241.48","248.44","253.98","254.99","260.48","273.20","281.91","287.23","290.44","289.25","283.91","277.88","284.00","283.61","283.88","294.57","306.45","307.34","308.49","309.50","299.18","295.48","295.37","299.13","298.43","304.92","308.16","307.39","286.26","291.32","269.87","291.38","299.58","295.36","310.77","295.02","302.34","304.19","295.92","314.97","314.79","324.14","315.47","319.88","302.38","246.26","248.54","249.63","258.21","258.43","275.66","265.39","259.13","301.27","306.27","303.93","324.31","345.30","353.70","368.92","370.79"
"Standard and Poor's/Toronto Stock Exchange Canadian Gold Index","355.97","363.49","335.81","300.16","318.84","354.58","312.96","282.64","266.06","190.58","260.43","312.40","313.69","308.82","338.77","278.07","340.90","315.48","307.88","307.10","334.76","316.92","365.25","333.09","299.91","322.62","315.32","358.25","362.77","382.80","346.71","399.73","400.65","404.04","419.47","420.62","374.04","396.94","397.69","405.85","387.78","365.20","376.21","419.08","394.89","399.82","422.43","360.40","388.98","373.19","336.40","311.90","305.87","304.33","288.31","314.48","349.31","346.92","309.93","303.04","275.80","255.83","254.83","201.32","205.48","170.40","182.57","199.21","176.05","179.93","161.61","156.45","182.37","198.38","180.86","183.73","169.97","196.54","195.94","202.10","166.55","134.62","143.36","145.80","194.11","182.01","156.24","166.52","165.42","150.77","122.86","128.44","124.16","133.99","125.66","129.53","140.63","182.21","182.23","228.67","208.23","252.63","273.88","228.48","237.28","224.59","190.81","194.25","214.17","207.72","207.60","207.72","209.06","194.86","194.39","210.24","196.23","195.23","194.00","195.46","194.49","179.59","186.58","188.16","190.22","191.54","181.78","157.32","154.59","160.22","164.34","186.80","191.48","190.41","195.35","182.68","190.45","220.50","226.48","263.24","235.58","249.82","243.66","261.30","266.60","249.04","235.71","326.91","328.61","345.95","397.68","382.91","364.29","350.09","310.54","315.42","303.52","269.42","284.70","294.61","330.17","294.57"
"Standard and Poor's/Toronto Stock Exchange Canadian Industrial Index","104.03","109.51","106.15","112.75","119.97","109.78","111.56","114.58","93.30","83.63","74.45","78.43","71.73","64.12","68.08","75.79","77.35","80.37","83.31","87.40","89.53","85.26","89.97","96.64","91.89","95.66","101.73","100.84","96.44","93.68","99.27","100.01","104.94","107.53","106.25","110.22","114.17","115.53","118.77","119.11","118.84","119.50","111.80","105.47","94.29","105.77","104.32","107.95","113.72","112.18","112.39","113.29","109.88","111.10","113.61","112.71","113.66","117.24","117.24","122.09","131.61","138.74","139.13","135.32","142.02","138.30","139.57","135.88","142.29","155.26","163.15","164.76","163.40","168.44","167.51","171.62","174.22","181.67","187.51","193.85","195.53","195.19","194.00","193.22","188.28","194.64","192.68","189.21","184.74","177.94","182.76","169.29","169.80","171.85","173.96","165.20","159.21","160.30","170.20","175.13","177.82","176.09","189.18","195.02","193.35","193.36","205.20","202.59","203.81","206.79","210.82","216.91","222.22","222.01","214.54","221.08","229.37","238.71","235.92","240.28","237.16","240.42","235.72","241.64","257.10","255.38","266.30","268.09","267.79","250.84","254.11","229.42","246.03","254.77","262.20","273.05","271.91","275.94","280.43","277.27","270.85","273.81","284.35","285.97","298.47","280.13","239.01","261.79","267.35","270.73","284.63","296.38","304.61","295.79","320.72","328.83","320.77","335.83","350.18","346.32","352.00","352.93"
"Standard and Poor's/Toronto Stock Exchange Canadian Information Technology Index","34.27","32.61","32.78","35.95","35.76","33.45","33.06","33.62","23.20","20.54","20.20","19.10","21.33","18.55","20.39","24.97","24.47","25.18","26.15","26.27","27.08","26.69","26.42","29.32","28.69","31.23","31.11","29.75","29.87","27.21","28.29","26.87","28.15","29.41","30.25","30.70","32.18","35.03","34.25","33.25","33.76","31.46","29.80","29.74","26.44","27.44","25.98","24.44","25.55","26.03","26.82","25.81","23.52","22.81","21.69","23.00","23.46","24.05","25.96","26.06","28.34","29.38","30.18","33.15","32.87","30.91","31.59","33.03","32.41","32.29","33.42","35.15","38.00","39.26","37.63","38.27","36.97","39.80","40.69","41.13","41.29","43.03","45.42","47.77","49.97","53.38","51.52","51.74","51.62","48.48","52.22","50.89","49.30","50.29","53.61","54.23","51.89","52.55","53.84","50.33","54.52","50.83","55.10","55.95","56.55","55.59","56.80","56.09","56.47","57.37","60.28","62.45","63.99","61.63","60.95","61.87","63.62","65.58","65.69","65.88","69.29","73.23","72.19","73.88","79.44","79.73","78.15","82.04","82.04","75.43","77.60","73.60","80.89","87.83","92.18","98.01","102.12","105.83","108.79","114.85","109.08","107.71","116.87","117.93","126.43","121.81","108.58","134.46","152.93","162.23","172.87","170.43","166.02","153.53","176.34","182.36","185.03","189.44","184.22","189.76","187.16","213.29"
"Standard and Poor's/Toronto Stock Exchange Canadian Materials Index","353.34","385.29","362.72","356.15","382.59","424.98","373.22","346.98","281.83","195.77","214.13","246.53","247.15","247.06","265.47","242.91","295.88","276.28","285.13","284.83","310.28","299.23","341.29","328.92","301.32","328.17","329.61","348.35","339.23","331.55","326.69","382.87","391.55","407.75","427.68","446.61","422.38","441.12","439.57","437.66","422.61","401.77","408.15","428.82","365.80","387.37","395.13","349.19","385.31","378.56","349.13","327.91","305.79","310.01","298.92","318.80","349.58","351.29","325.68","325.08","313.36","295.95","290.17","250.51","258.07","222.63","225.41","244.11","231.60","234.97","221.40","225.61","246.08","261.73","246.37","247.17","236.82","260.56","262.79","263.66","233.24","206.29","213.92","215.48","248.71","246.91","221.58","228.79","226.93","214.84","183.19","178.87","161.30","172.56","170.45","166.34","163.03","192.05","198.42","238.12","222.28","250.82","267.95","241.37","247.24","244.82","233.09","231.21","252.64","243.08","244.66","243.75","238.15","228.17","232.06","244.71","234.90","238.59","237.56","245.72","244.22","234.36","234.49","235.33","248.20","252.16","242.09","222.16","218.80","208.66","208.57","219.74","234.48","232.75","237.77","231.87","221.42","249.64","255.45","270.10","249.82","257.13","256.62","268.40","262.00","241.96","217.03","288.59","294.49","307.22","347.58","344.73","334.13","327.24","311.44","320.62","309.42","295.38","297.39","313.84","338.37","316.71"
"Standard and Poor's/Toronto Stock Exchange Canadian Telecommunication Service Index","92.24","93.98","92.03","99.46","98.76","93.24","89.16","95.57","86.85","88.58","80.56","79.03","76.97","74.15","72.80","70.44","74.31","71.85","72.76","75.88","76.51","75.91","77.62","79.71","77.67","79.70","82.11","83.44","83.50","83.08","84.54","88.17","90.37","91.22","90.96","89.36","93.52","92.12","92.64","93.38","100.27","99.70","96.42","100.15","97.65","99.27","100.38","104.63","102.98","102.90","104.23","102.24","102.23","103.60","106.33","107.89","108.04","112.03","111.10","111.54","114.39","119.09","121.63","121.00","120.65","110.20","109.39","110.15","113.10","117.18","119.41","118.45","119.37","119.14","121.08","119.45","123.88","120.53","121.73","123.65","119.37","123.66","131.23","128.36","131.06","127.95","123.14","125.67","129.05","129.93","134.07","131.03","131.60","139.18","140.23","131.21","134.24","141.36","143.93","139.87","148.57","150.80","158.13","155.23","154.23","153.17","148.29","149.71","153.66","154.22","158.77","167.89","168.07","162.54","166.14","167.52","165.44","170.99","174.23","170.41","162.60","159.23","157.18","159.90","159.25","161.21","167.57","167.67","165.03","161.65","172.15","166.54","174.00","178.50","181.04","178.55","181.71","177.80","175.24","176.46","176.03","174.06","181.59","179.20","183.39","170.33","159.68","160.14","162.67","155.50","158.83","160.79","158.64","153.69","166.17","163.74","163.98","162.44","176.55","182.49","187.50","192.92"
"Standard and Poor's/Toronto Stock Exchange Canadian Utilities Index","225.77","221.37","216.31","219.87","227.36","226.24","224.32","222.10","190.22","182.85","172.15","174.98","171.46","166.18","152.23","156.28","159.01","172.76","172.42","174.28","176.71","174.43","183.63","197.44","190.60","192.96","201.28","192.72","189.00","188.10","200.68","201.80","214.61","212.65","217.28","222.31","223.90","219.36","222.41","221.06","227.96","221.21","220.44","225.76","226.36","225.79","225.15","225.77","223.05","230.00","225.65","228.94","221.52","221.89","224.52","220.75","223.81","224.50","217.13","223.89","232.67","227.60","221.55","229.04","219.61","209.31","212.46","196.60","200.39","210.91","204.81","203.96","211.12","211.02","219.33","220.60","217.32","219.76","216.20","220.21","218.34","221.76","231.89","226.97","241.19","236.47","232.69","233.94","226.37","212.40","218.10","214.24","214.76","210.63","205.55","209.22","220.98","209.91","226.67","224.22","231.10","239.99","246.66","238.66","239.24","242.34","229.61","235.56","238.41","238.38","249.92","249.65","252.42","253.59","248.10","251.85","246.05","253.70","252.97","249.85","238.53","228.82","232.49","228.32","223.97","228.71","230.61","228.98","225.29","218.97","227.40","219.47","232.88","241.56","251.84","252.69","259.99","262.54","266.73","277.90","286.08","282.82","289.79","288.78","310.59","300.91","270.80","280.75","280.88","278.09","294.43","288.18","305.57","301.62","317.87","319.50","327.86","309.14","327.32","325.28","322.32","328.80"

Footnotes:
1,"As of January 2017, this data is obtained from the Toronto Stock Exchange eReview, TMX Group Inc."
2,"Prior to January 2017, the information presented in this table was provided by the Bank of Canada."



"How to cite: Statistics Canada. Table 10-10-0125-01  Toronto Stock Exchange statistics"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1010012501
