"Population estimates, quarterly 1 2 3 4"
"Frequency: "
"Table: 17-10-0009-01 (formerly CANSIM 051-0005)"
"Release date: 2021-09-29"
"Geography: Canada, Province or territory"
""
""

"Geography","Q1 2008","Q2 2008","Q3 2008","Q4 2008","Q1 2009","Q2 2009","Q3 2009","Q4 2009","Q1 2010","Q2 2010","Q3 2010","Q4 2010","Q1 2011","Q2 2011","Q3 2011","Q4 2011","Q1 2012","Q2 2012","Q3 2012","Q4 2012","Q1 2013","Q2 2013","Q3 2013","Q4 2013","Q1 2014","Q2 2014","Q3 2014","Q4 2014","Q1 2015","Q2 2015","Q3 2015","Q4 2015","Q1 2016","Q2 2016","Q3 2016","Q4 2016","Q1 2017","Q2 2017","Q3 2017","Q4 2017","Q1 2018","Q2 2018","Q3 2018","Q4 2018","Q1 2019","Q2 2019","Q3 2019","Q4 2019","Q1 2020","Q2 2020","Q3 2020","Q4 2020","Q1 2021","Q2 2021"
,"Persons",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alberta","3,548,796","3,567,458","3,595,856","3,619,292","3,638,482","3,659,228","3,678,996","3,694,303","3,702,266","3,714,974","3,732,082","3,747,226","3,754,424","3,768,773","3,789,030","3,807,726","3,825,072","3,847,722","3,874,548","3,900,333","3,920,499","3,946,798","3,981,011","4,010,903","4,029,951","4,054,280","4,083,648","4,106,056","4,116,047","4,128,300","4,144,491","4,159,519","4,169,830","4,181,765","4,196,061","4,208,958","4,217,855","4,227,969","4,241,100","4,258,195","4,268,853","4,281,706","4,298,275","4,317,665","4,330,833","4,344,454","4,362,576","4,384,982","4,401,180","4,415,700","4,420,029","4,424,557","4,431,454","4,438,772"
"British Columbia","4,319,652","4,331,699","4,349,336","4,371,124","4,381,829","4,395,190","4,410,506","4,431,576","4,441,329","4,453,744","4,465,546","4,483,609","4,482,260","4,488,508","4,502,104","4,525,684","4,536,084","4,548,438","4,566,769","4,590,545","4,598,255","4,611,648","4,630,077","4,658,875","4,666,788","4,684,490","4,707,103","4,737,725","4,745,468","4,757,759","4,776,388","4,802,955","4,811,465","4,832,155","4,859,250","4,884,002","4,890,848","4,905,210","4,929,384","4,956,550","4,967,421","4,983,183","5,010,476","5,040,353","5,048,144","5,066,120","5,094,796","5,130,251","5,137,137","5,150,616","5,158,728","5,156,587","5,163,919","5,185,990"
"Yukon","32,751","32,954","33,083","33,306","33,404","33,582","33,731","34,025","34,007","34,241","34,596","34,789","34,801","34,983","35,411","35,668","35,782","35,843","36,234","36,425","36,373","36,313","36,521","36,448","36,393","36,682","37,137","37,272","37,168","37,372","37,690","37,751","37,770","38,042","38,547","38,750","38,848","39,175","39,610","39,804","39,972","40,141","40,519","40,679","40,854","40,932","41,362","41,648","41,700","42,017","42,174","42,300","42,344","42,586"
"Northwest Territories 5","43,357","43,362","43,360","43,293","43,116","43,106","43,156","42,924","42,970","43,152","43,285","43,303","43,263","43,263","43,504","43,593","43,648","43,701","43,648","43,681","43,737","43,867","43,805","43,756","43,800","43,794","43,884","44,064","44,140","44,193","44,237","44,428","44,507","44,590","44,649","44,542","44,607","44,813","44,891","45,126","45,066","45,320","44,981","44,970","45,202","45,137","45,070","45,189","45,269","45,363","45,372","45,265","45,323","45,629"
"Nunavut 5","31,615","31,681","31,892","31,963","32,061","32,385","32,597","32,811","32,921","33,137","33,352","33,570","33,733","33,923","34,192","34,352","34,420","34,593","34,672","34,842","34,974","34,998","35,337","35,543","35,587","35,806","35,971","36,105","36,219","36,283","36,488","36,603","36,722","36,767","36,975","37,040","37,176","37,335","37,546","37,703","37,685","37,807","38,143","38,288","38,352","38,521","38,592","38,625","38,721","38,836","39,155","39,109","39,255","39,336"

Footnotes:
1,"Postcensal estimates are based on the 2016 Census counts adjusted for census net undercoverage (CNU) (including adjustment for incompletely enumerated Indian reserves (IEIR)) and the components of demographic growth that occurred since that census. Intercensal estimates are produced using counts from two consecutive censuses adjusted for CNU (including IEIR) and postcensal estimates."
2,"Population estimates: Q1 = January 1; Q2 = April 1; Q3 = July 1; Q4 = October 1."
3,"Estimates are final intercensal and unadjusted for census net undercoverage prior to July 1, 1971. Estimates are final intercensal from July 1, 1971 to April 1, 2016, final postcensal from July 1, 2016 to July 1, 2019, updated postcensal from October 1, 2019 to April 1, 2021 and preliminary postcensal from July 1, 2021."
4,"The population growth, which is used to calculate population estimates, is comprised of the natural growth (Table 17100059), international migration (Table 17100040) and interprovincial migration (Tables 17100020 and 17100045)."
5,"Prior to July 1, 1991, only population estimates for Northwest Territories and Nunavut combined are available."



"How to cite: Statistics Canada. Table 17-10-0009-01  Population estimates, quarterly"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1710000901
